"Cabucci's","5858 Horton Street, Emeryville, CA 94608","http://www.buccis.com/cabucci.html ","510-547-5380",,"Italian","499 ft"
"Summer Summer Thai Eatery","5885 Hollis Street, Emeryville, CA 94608","http://summersummerthai.com","510-658-3234",,"Thai",0.1
"Bucci's","6121 Hollis Street, Emeryville, CA 94608","http://buccis.com","510-547-4725",,"Italian",0.2
"Ruby's Cafe","6233 Hollis Street, Emeryville, CA 94608",,"510-601-0622 ",,"Cafe, Sandwiches",0.2
"E-22 Cafe","1366 Powell Street, 
Emeryville, CA 94608","http://e22cafe.com","510-735-9714",,"Cafe",0.3
"Townhouse","5862 Doyle Street, Emeryville, CA 94608 ","http://townhousebarandgrill.com ","510-652-6151",,"American",0.3
"Emery Bay Public Market","5857 Christie Avenue, Emeryville, CA 94608","http://emerymarket.com","510-652-9300",,"Various",0.4
"Cafe Aquarius","1298 65th Street, Emeryville, CA 94608","http://cafeaquarius.net","510-655-2782",,"Cafe, Sandwiches",0.5
"Cocina Poblana","1320 65th Street, Emeryville, CA 94608","http://cocinapoblana.com/gallery/emeryville/","510-923-0497",,"Mexican",0.5
"Trader Joe's","5700 Christie Avenue, Emeryville, CA 94608","http://traderjoes.com","510-658-8091",,"Groceries",0.5
"Farley's","1195 65th Street, Emeryville, CA 94608","http://farleyscoffee.com","510-879-7026",,"Cafe",0.6
"Rudy's Can't Fail Cafe","4081 Hollis Street, Emeryville, CA 94608","http://iamrudy.com","510-594-1221",,"American",0.9
"Arizmendi Bakery & Pizza","4301 San Pablo Avenue, Emeryville, CA 94608","http://arizmendibakery.org/","510-547-0550",,"Pizza",1.1
"Berkeley Bowl West","920 Heinz Avenue, Berkeley, CA 94710","http://berkeleybowl.com","510-898-9555",,"Groceries",1.1
"Juan's Place","941 Carleton Street, Berkeley, CA 94710",,"510-845-6904",,"Mexican",1.3
"Wally's Cafe","3900 San Pablo Avenue, Emeryville, CA 94608",,"510-597-1303 ",,"Mediterranean","1.4/1.8"
"K C Bar-B-Q","2613 San Pablo Avenue, Berkeley, CA 94702","http://kcsbbqpit.com","510-548-1140",,"BBQ",1.5
"Berkeley Bowl (the first)","2020 Oregon Street, Berkeley, CA 94703 ","http://berkeleybowl.com","510-843-6929",,"Groceries","2.0/2.4"
"Bakesale Betty #1","5098 Telegraph Ave, Oakland, CA 94609",,"510-985-1213","Wednesday - Saturday
11:00 AM - 2:00 PM
Closed Sunday, Monday and Tuesday. ","Sandwiches","2.0/2.7"
"Homeroom","400 40th Street, Oakland, CA 94609","http://homeroom510.com","510-597-0400",,"Other",2.4
"Bakesale Betty #2","2228 Broadway, Oakland, CA 94612",,"510-251-2100","Tuesday - Friday
11:00am - 1:45 pm
Closed Saturday, Sunday and Monday.","Sandwiches","2.9/4.3"
"Cheeseboard Pizza","1504 Shattuck Avenue, Berkeley, CA 94709","http://cheeseboardcollective.coop/pizza","510-549-3183",,"Pizza","3.6/4.1"
"Asqew Grill","Bay St, Emeryville, CA 94608",,,,"Other",
"Buckhorn Grill","Bay St, Emeryville, CA 94608",,,,"Sandwiches",
"California Pizza Kitchen","Bay St, Emeryville, CA 94608",,,,"Pizza",
"Fuddruckers","Bay St, Emeryville, CA 94608",,,,"Burgers",
"Pasta Pomodoro","Bay St, Emeryville, CA 94608",,,,"Italian",
"Rubio's Grill","Bay St, Emeryville, CA 94608",,,,"Mexican",
"Liba Falafel","6355 Hollis Street, Emeryville, CA","http://libasf.com/",,,"Other",
